,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure,Occupancy Mode Indicator,Fault Detection Ground Truth
0,75.92,55,80.61,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
1,75.71,55,80.68,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
2,75.71,55,80.66,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
3,75.6,55,80.69,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
4,75.81,55,80.6,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
5,75.6,55,80.58,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
6,75.6,55,80.59,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
7,75.6,55,80.52,73.44,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
8,75.71,55,80.55,73.44,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
9,75.71,55,80.4,73.44,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
10,75.6,55,80.41,73.65,74.07,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
11,75.49,55,80.41,73.44,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
12,75.49,55,80.32,73.65,73.97,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
13,75.6,55,80.29,73.44,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
14,75.81,55,80.29,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
15,75.49,55,80.28,73.44,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
16,75.49,55,80.23,73.65,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
17,75.49,55,80.16,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
18,75.49,55,80.16,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
19,75.49,55,80.25,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
20,75.49,55,80.23,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
21,75.38,55,80.18,73.65,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
22,75.49,55,80.06,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
23,75.49,55,79.93,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
24,75.71,55,79.93,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
25,75.38,55,80.0,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
26,75.49,55,80.09,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
27,75.38,55,80.12,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
28,75.49,55,79.98,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
29,75.38,55,79.84,73.44,73.44,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
30,75.38,55,79.81,73.65,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
31,75.38,55,79.85,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
32,75.49,55,79.93,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
33,75.38,55,79.87,73.44,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
34,75.38,55,79.83,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
35,75.38,55,79.76,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
36,75.28,55,79.7,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
37,75.28,55,79.75,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
38,75.28,55,79.74,73.44,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
39,75.6,55,79.8,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
40,75.28,55,79.86,73.33,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
41,75.6,55,79.81,73.44,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
42,75.28,55,79.84,73.65,73.97,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
43,75.28,55,79.86,73.44,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
44,75.49,55,79.83,73.65,73.97,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
45,75.49,55,79.88,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
46,75.28,55,79.83,73.44,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
47,75.28,55,79.79,73.44,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
48,75.49,55,79.76,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
49,75.17,55,79.69,73.54,73.97,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
50,75.17,55,79.59,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
51,75.17,55,79.57,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
52,75.17,55,79.56,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
53,75.17,55,79.56,73.44,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
54,75.06,55,79.57,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
55,75.17,55,79.56,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
56,75.17,55,79.51,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
57,75.17,55,79.52,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
58,75.28,55,79.54,73.23,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
59,75.17,55,79.55,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
60,75.17,55,79.59,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
61,74.95,55,79.61,73.33,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
62,75.17,55,79.66,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
63,75.17,55,79.57,73.33,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
64,75.06,55,79.51,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
65,75.06,55,79.48,73.33,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
66,75.06,55,79.5,73.23,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
67,75.17,55,79.47,73.33,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
68,75.17,55,79.48,73.23,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
69,75.06,55,79.52,73.33,73.44,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
70,75.06,55,79.51,73.33,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
71,75.17,55,79.49,73.33,73.44,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
72,75.06,55,79.5,73.23,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
73,75.06,55,79.45,73.23,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
74,75.06,55,79.47,73.23,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
75,75.06,55,79.34,73.33,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
76,75.06,55,79.25,73.54,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
77,75.06,55,79.31,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
78,75.06,55,79.33,73.54,73.97,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
79,74.95,55,79.27,73.54,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
80,74.95,55,79.28,73.23,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
81,74.95,55,79.27,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
82,75.06,55,79.25,73.23,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
83,75.28,55,79.19,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
84,75.06,55,79.16,73.33,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
85,74.95,55,79.24,73.23,73.86,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
86,74.95,55,79.17,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
87,75.17,55,79.16,73.23,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
88,74.95,55,79.11,73.44,73.97,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
89,74.95,55,79.11,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
90,75.06,55,79.08,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
91,74.95,55,79.05,73.23,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
92,74.95,55,79.09,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
93,75.06,55,79.01,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
94,74.95,55,78.95,73.23,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
95,75.17,55,78.91,73.33,73.76,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
96,74.84,55,78.91,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
97,74.95,55,78.86,73.23,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
98,74.95,55,78.84,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
99,74.84,55,78.84,73.23,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
100,74.84,55,78.74,73.33,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
101,74.95,55,78.65,73.33,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
102,75.06,55,78.64,73.23,73.65,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
103,74.84,55,78.57,73.23,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
104,74.84,55,78.64,73.23,73.55,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
