,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure,Occupancy Mode Indicator,Fault Detection Ground Truth
0,76.85,55,3.76,3.76,60.77,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
1,76.58,55,3.73,3.73,60.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
2,76.32,55,3.69,3.69,60.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
3,76.05,55,3.67,3.67,60.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
4,75.79,55,3.68,3.68,60.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
5,75.53,55,3.67,3.67,60.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
6,75.27,55,3.67,3.67,60.59,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
7,75.01,55,3.68,3.68,60.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
8,74.75,55,3.69,3.69,60.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
9,74.49,55,3.7,3.7,60.51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
10,74.24,55,3.67,3.67,60.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11,73.98,55,3.68,3.68,60.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
12,73.73,55,3.75,3.75,60.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
13,73.47,55,3.78,3.78,60.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
14,73.22,55,3.76,3.76,60.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
15,72.97,55,3.76,3.76,60.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
16,72.72,55,3.74,3.74,60.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
17,72.47,55,3.72,3.72,60.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
18,72.22,55,3.75,3.75,60.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
19,71.97,55,3.74,3.74,60.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
20,71.72,55,3.76,3.76,60.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
21,71.47,55,3.74,3.74,60.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
22,71.23,55,3.74,3.74,60.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
23,70.98,55,3.74,3.74,60.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
