,AHU: Supply Air Temperature,AHU: Supply Air Temperature Heating Set Point,AHU: Supply Air Temperature Cooling Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Supply Air Fan Speed Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,Occupancy Mode Indicator,Fault Detection Ground Truth
0,72.82,50.0,86.0,59.45,71.98,0.5,0.0,1.0,0.0,0.0,0.0,0,1
1,72.8,50.0,86.0,59.45,71.98,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2,72.74,50.0,86.0,59.45,71.96,0.5,0.0,1.0,0.0,0.0,0.0,0,1
3,72.61,50.0,86.0,59.45,71.95,0.5,0.0,1.0,0.0,0.0,0.0,0,1
4,72.44,50.0,86.0,59.45,71.91,0.5,0.0,1.0,0.0,0.0,0.0,0,1
5,72.25,50.0,86.0,59.45,71.87,0.5,0.0,1.0,0.0,0.0,0.0,0,1
6,72.15,50.0,86.0,59.45,71.82,0.5,0.0,1.0,0.0,0.0,0.0,0,1
7,72.15,50.0,86.0,59.45,71.78,0.5,0.0,1.0,0.0,0.0,0.0,0,1
8,72.24,50.0,86.0,59.45,71.76,0.5,0.0,1.0,0.0,0.0,0.0,0,1
9,72.37,50.0,86.0,59.45,71.76,0.5,0.0,1.0,0.0,0.0,0.0,0,1
10,72.47,50.0,86.0,59.45,71.76,0.5,0.0,1.0,0.0,0.0,0.0,0,1
11,72.51,50.0,86.0,59.45,71.76,0.5,0.0,1.0,0.0,0.0,0.0,0,1
12,72.49,50.0,86.0,59.45,71.77,0.5,0.0,1.0,0.0,0.0,0.0,0,1
13,72.39,50.0,86.0,59.45,71.76,0.5,0.0,1.0,0.0,0.0,0.0,0,1
14,72.27,50.0,86.0,59.45,71.74,0.5,0.0,1.0,0.0,0.0,0.0,0,1
15,72.1,50.0,86.0,60.32,71.72,0.5,0.0,1.0,0.0,0.0,0.0,0,1
16,71.93,50.0,86.0,60.32,71.69,0.5,0.0,1.0,0.0,0.0,0.0,0,1
17,71.74,50.0,86.0,60.32,71.63,0.5,0.0,1.0,0.0,0.0,0.0,0,1
18,71.59,50.0,86.0,60.32,71.57,0.5,0.0,1.0,0.0,0.0,0.0,0,1
19,71.42,50.0,86.0,60.32,71.52,0.5,0.0,1.0,0.0,0.0,0.0,0,1
20,71.26,50.0,86.0,60.32,71.46,0.5,0.0,1.0,0.0,0.0,0.0,0,1
21,71.12,50.0,86.0,60.32,71.4,0.5,0.0,1.0,0.0,0.0,0.0,0,1
22,70.97,50.0,86.0,60.32,71.33,0.5,0.0,1.0,0.0,0.0,0.0,0,1
23,70.85,50.0,86.0,60.32,71.27,0.5,0.0,1.0,0.0,0.0,0.0,0,1
24,70.72,50.0,86.0,60.32,71.19,0.5,0.0,1.0,0.0,0.0,0.0,0,1
25,70.6,50.0,86.0,60.32,71.14,0.5,0.0,1.0,0.0,0.0,0.0,0,1
26,70.47,50.0,86.0,60.32,71.07,0.5,0.0,1.0,0.0,0.0,0.0,0,1
27,70.34,50.0,86.0,60.32,71.01,0.5,0.0,1.0,0.0,0.0,0.0,0,1
28,70.2,50.0,86.0,60.32,70.94,0.5,0.0,1.0,0.0,0.0,0.0,0,1
29,70.05,50.0,86.0,60.32,70.87,0.5,0.0,1.0,0.0,0.0,0.0,0,1
30,69.92,50.0,86.0,60.33,70.81,0.5,0.0,1.0,0.0,0.0,0.0,0,1
31,69.79,50.0,86.0,60.33,70.75,0.5,0.0,1.0,0.0,0.0,0.0,0,1
32,69.66,50.0,86.0,60.33,70.67,0.5,0.0,1.0,0.0,0.0,0.0,0,1
33,69.53,50.0,86.0,60.33,70.58,0.5,0.0,1.0,0.0,0.0,0.0,0,1
34,69.43,50.0,86.0,60.33,70.54,0.5,0.0,1.0,0.0,0.0,0.0,0,1
35,69.32,50.0,86.0,60.33,70.46,0.5,0.0,1.0,0.0,0.0,0.0,0,1
36,69.21,50.0,86.0,60.33,70.38,0.5,0.0,1.0,0.0,0.0,0.0,0,1
37,69.12,50.0,86.0,60.33,70.31,0.5,0.0,1.0,0.0,0.0,0.0,0,1
38,69.03,50.0,86.0,60.33,70.26,0.5,0.0,1.0,0.0,0.0,0.0,0,1
39,68.96,50.0,86.0,60.33,70.21,0.5,0.0,1.0,0.0,0.0,0.0,0,1
40,68.86,50.0,86.0,60.33,70.14,0.5,0.0,1.0,0.0,0.0,0.0,0,1
41,68.8,50.0,86.0,60.33,70.08,0.5,0.0,1.0,0.0,0.0,0.0,0,1
42,68.72,50.0,86.0,60.33,70.02,0.5,0.0,1.0,0.0,0.0,0.0,0,1
43,68.65,50.0,86.0,60.33,69.97,0.5,0.0,1.0,0.0,0.0,0.0,0,1
44,68.6,50.0,86.0,60.33,69.92,0.5,0.0,1.0,0.0,0.0,0.0,0,1
45,68.56,50.0,86.0,57.51,69.87,0.5,0.0,1.0,0.0,0.0,0.0,0,1
46,68.5,50.0,86.0,57.51,69.83,0.5,0.0,1.0,0.0,0.0,0.0,0,1
47,68.46,50.0,86.0,57.51,69.79,0.5,0.0,1.0,0.0,0.0,0.0,0,1
48,68.41,50.0,86.0,57.51,69.73,0.5,0.0,1.0,0.0,0.0,0.0,0,1
49,68.37,50.0,86.0,57.51,69.68,0.5,0.0,1.0,0.0,0.0,0.0,0,1
50,68.33,50.0,86.0,57.51,69.65,0.5,0.0,1.0,0.0,0.0,0.0,0,1
51,68.3,50.0,86.0,57.51,69.61,0.5,0.0,1.0,0.0,0.0,0.0,0,1
52,68.26,50.0,86.0,57.51,69.56,0.5,0.0,1.0,0.0,0.0,0.0,0,1
53,68.24,50.0,86.0,57.51,69.54,0.5,0.0,1.0,0.0,0.0,0.0,0,1
54,68.21,50.0,86.0,57.51,69.49,0.5,0.0,1.0,0.0,0.0,0.0,0,1
55,68.17,50.0,86.0,57.51,69.47,0.5,0.0,1.0,0.0,0.0,0.0,0,1
56,68.15,50.0,86.0,57.51,69.43,0.5,0.0,1.0,0.0,0.0,0.0,0,1
57,68.11,50.0,86.0,57.51,69.4,0.5,0.0,1.0,0.0,0.0,0.0,0,1
58,68.09,50.0,86.0,57.51,69.37,0.5,0.0,1.0,0.0,0.0,0.0,0,1
59,68.07,50.0,86.0,57.51,69.34,0.5,0.0,1.0,0.0,0.0,0.0,0,1
60,68.06,50.0,86.0,56.78,69.32,0.5,0.0,1.0,0.0,0.0,0.0,0,1
61,68.04,50.0,86.0,56.78,69.29,0.5,0.0,1.0,0.0,0.0,0.0,0,1
62,68.01,50.0,86.0,56.78,69.26,0.5,0.0,1.0,0.0,0.0,0.0,0,1
63,67.98,50.0,86.0,56.78,69.24,0.5,0.0,1.0,0.0,0.0,0.0,0,1
64,67.97,50.0,86.0,56.78,69.22,0.5,0.0,1.0,0.0,0.0,0.0,0,1
65,67.97,50.0,86.0,56.78,69.19,0.5,0.0,1.0,0.0,0.0,0.0,0,1
66,67.95,50.0,86.0,56.78,69.17,0.5,0.0,1.0,0.0,0.0,0.0,0,1
67,67.94,50.0,86.0,56.78,69.15,0.5,0.0,1.0,0.0,0.0,0.0,0,1
68,67.94,50.0,86.0,56.78,69.11,0.5,0.0,1.0,0.0,0.0,0.0,0,1
69,67.91,50.0,86.0,56.78,69.1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
70,67.91,50.0,86.0,56.78,69.09,0.5,0.0,1.0,0.0,0.0,0.0,0,1
71,67.9,50.0,86.0,56.78,69.08,0.5,0.0,1.0,0.0,0.0,0.0,0,1
72,67.89,50.0,86.0,56.78,69.06,0.5,0.0,1.0,0.0,0.0,0.0,0,1
73,67.87,50.0,86.0,56.78,69.03,0.5,0.0,1.0,0.0,0.0,0.0,0,1
74,67.88,50.0,86.0,56.78,69.02,0.5,0.0,1.0,0.0,0.0,0.0,0,1
75,67.87,50.0,86.0,57.08,69.02,0.5,0.0,1.0,0.0,0.0,0.0,0,1
